Numéro_de_l'objet,Domaine,Dénomination,Appellation,Titre,Auteur,Précisions_sur_l'auteur,Lieu_de_création,Période_de_création,Millésime,Période_de_l'original_copié,Epoque,Utilisation,Période_d'utilisation,Millésime_d'utilisation,Dimensions,Matériaux-techniques,Géographie_historique,Découverte,Sujet,Source_de_la_représentation,Onomastique,Statut_juridique,Date_d'acquisition,Date_de_dépôt,Ancien_dépôt,ID-notice,Lieu_de_conservation,Identifiant_Museofile,Date_d'import,Date_de_mise_à_jour,Label_Musée_de_France,Ecole,Dépôt,ville,geolocalisation_ville
D-ATP-98-25-158-25,jeux - sports - loisirs,coffret;tampon,,imprimerie du petit michel (titre inscrit),ANYVAL (fabricant),,,2e moitié 20e siècle,,,,jeu ; pédagogie,,,"L.18,5 cm ; l.22,5 cm ; H.4,7 cm","carton, bois;caoutchouc",,,,,,propriété du département ; Haute-Saône ; don ; musée départemental Albert Demard,,,,M0354000327,Champlitte;musée départemental Albert Demard,M0354,2007-11-16,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Champlitte,"47.615433,5.513712"
35.01.367 ; NA 2193 (n° du document n°2) ; 35.1.367 (n° du document 'F' :) ; 181 (n° du document 'D' :),peinture,,,Rochefort à Mazas,GAUTIER Amand (peintre),"GAUTIER : Lille, 1825 ; Paris, 1894 ; nationalité : Français",,3e quart 19e siècle,1871,,,,,,H. en cm 59 ; l. en cm 73 ; H. en cm avec cadre 65.5 ; l. en cm avec cadre 78.8 ; Epaisseur du cadre en cm 3.3,peinture à l'huile;toile,,,"portrait (Rochefort Henri, prison : Paris, homme politique, debout, gobelet, chaise, table, broc, encrier, couteau, communard, prisonnier, lettre)",,,propriété de la commune ; achat ; Saint-Denis ; musée d'art et d'histoire,1935,,,04220053709,Saint-Denis;musée d'art et d'histoire,M0422,2018-04-24,2018-05-22,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Saint-Denis,"-20.943522,55.448016"
005.04.004,précolombien;vie domestique;croyances - coutumes;ethnologie,meule (zoomorphe),,métate,anonyme (population),,,,500 ap entre ; 800 et,,,,,,"H: 18 L: 43,4 P: 24","basalte, taille directe, bouchardé, polissage",,"Amérique centrale ; Panama (Veraguas, lieu de découverte)",ornementation (animal : tête),,,propriété de la commune ; achat ; Auch ; musée des Jacobins,,,,M0569000058,Auch;musée des Jacobins,M0569,2018-05-29,2018-06-01,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Auch,"43.644497,0.588419"
006.07.001,précolombien;céramique;Amérique;ethnologie,statuette;tête (anthropomorphe),,Tête de statuette,Totonaque (population),200 - 900,,,600 entre ; 900 et,,,,,,"H: 10,1 L: 13,2 P: 7,2","terre cuite, argile, bitume;modelage, pastillage, incision, cuisson, peinture",,"Mexique (côte du golfe, lieu de découverte)",figure (tête),,,propriété de la commune ; achat ; Auch ; musée des Jacobins,,,,M0569000068,Auch;musée des Jacobins,M0569,2018-05-29,2018-06-01,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Auch,"43.644497,0.588419"
2011.0.1003,estampe,,,L'église de Caudebec (Vue latérale),BENOIST Félix ; CHARPENTIER (lithographe),"Benoist Félix : Saumur,  1813 ; Nantes, 1896",,2e moitié 19e siècle,,,,,,,H. 48 ; l. 31.5 cm (feuille) ; H. 29 ; l. 21.5 cm (image),lithographie;papier,,,"vue d'architecture (église, Caudebec-en-Caux) ; scène (marché)",,,propriété privée personne morale ; mode d'acquisition inconnu ; association des Amis du Vieux Caudebec,date d'acquisition inconnue,,,M0710000166,Caudebec-en-Caux;musée Biochet-Bréchot;maison des Templiers,M0710,2011-12-12,2012-05-04,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Caudebec-en-Caux,"49.522701,0.755164"
98.4.105/MICV,textile,livre,,La grande industrie tinctoriale,BELTZER Francis (chimiste),BELTZER : Ingénieur - chimiste Expert - conseil Ancien directeur d'usine,,2e quart 19e siècle,1946,,,,,,Hauteur en cm 24 ; Largeur en cm 17,papier,,,,,,propriété du département ; don ; Seine-Maritime ; musée industriel de la Corderie Vallois,1998,,,07280000169,Notre-Dame-de-Bondeville;musée industriel de la Corderie Vallois,M0728,2009-09-28,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Notre-Dame-de-Bondeville,"49.487823,1.047662"
1951.10.98.3,spectacle - fête,"théâtre de marionnettes (élément, 5)",,Guignol Lorrain. Côté cour,RIEGEL Ch,,Vosges : Lunéville (lieu de création) ; Vosges ; Haute-Saône ; Haute-Marne ; Meurthe-et-Moselle (?) (lieu d'utilisation),1er quart 20e siècle;2e quart 20e siècle,1920 entre ; 1930 et,,,spectacle ; décor,,,H. 300 cm ; E. 4 cm,"coton, lin, bois, métal (peint)",,,"représentation végétale (vigne vierge) ; paysage (colonne, montagne, fleur, rose)",,,propriété du département ; Haute-Saône ; don ; musée départemental Albert Demard,1971/07/07,,,M0354002102,Champlitte;musée départemental Albert Demard,M0354,2008-01-22,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Champlitte,"47.615433,5.513712"
MV 5256 ; INV 5187 ; L 3550,peinture,tableau,,HENRI DE LA ROCHEJAQUELIN (1772-1794),GUERIN Pierre Narcisse Baron,"Paris, 1774 ; Paris, 1833",,1er quart 19e siècle,1816 vers,,,,,,216 H ; 142 L,peinture à l'huile;toile,,,"portrait (La Rochejaquelein Henri de, Duvergier comte, homme, en pied, blessé, de trois-quarts, général, pistolet) ; soldat ; arme offensive ; drapeau",,,propriété de l'Etat ; musée national des Châteaux de Versailles et de Trianon ; achat après commande ; musée du Louvre département des Peintures,,1914,,000PE013108,Cholet;musée d'art et d'histoire,M0754,,2015-08-24,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,Attribution ; Versailles ; Musée du Château ; en dépôt ; Cholet ; Musée,Cholet,"47.058831,-0.880158"
1950.2.2 ; 950.2.2 (Ancien numéro),peinture,tableau,,A Germiny l'Evêque ; Paysage aux oies (ancien cartel),BINET Victor Jean (peintre),"BINET : Rouen, 1849/03/17 ; Saint-Aubin-sur-Quillebeuf, 1924/01/15 ; nationalité : Française ; Victor Binet, frère d'Adolphe Binet est peintre de paysages. Sa biographie est lacunaire. Certaines sources mentionnent qu'il aurait été l'élève de Troyon ou encore inscrit à l'École des beaux-arts de Paris en 1868 ; d'autres qu'il était autodidacte. Il est tout d'abord peintre de décors pour Eiffel notamment. Son oeuvre se consacre largement aux paysages, dans lesquels il intègre parfois des éléments de modernité (trains, péniches, ponts métalliques etc.) et des personnages (du monde rural : paysans, pêcheurs etc.) bien que cela ne soit pas le sujet principal. Ses paysages de prédilection sont la campagne normande ceux autour de l'estuaire de la Seine, des bords de Seine à Paris, les environs de la Marne ou encore en région parisienne (Arcueil, Gentilly, Mantes-la-Jolie etc.). Il expose pour la première fois au Salon du 1878, se fait remarquer dès 1881 avec la mention honorable et obtient la médaille d'or à deux reprises aux expositions universelles de 1889 et 1900. Chevalier en 1894, il devient Officier de la légion d'honneur en 1900. Son nom apparaît pour la dernière fois au Salon de 1908. Nombreuses sont ses oeuvres qui se retrouvent dans les musées français (Amiens, Reims, Rouen, Bagnères-de-Luchon, Orsay, CNAP etc.) grâce aux achats de l'État lors des salons. Il peint pour l'Hôtel de Ville de Paris, une oeuvre destinée à orner les galeries longeant les grands escaliers des fêtes intitulée « Fontaine du Châtelet » suite à une commande de 1888. Sa technique tend à évoluer au cours de sa carrière. A ses débuts ses paysages sont de composition classique avec une atmosphère sereine et une touche lisse, puis progressivement il intègre les évolutions picturales de son époque. Sa palette s'éclaircit, sa touche s'épaissit et s'accélère, sans pour autant adhérer au mouvement impressionniste.",,4e quart 19e siècle,1891,,,,,,Hauteur en cm 84 ; Largeur en cm 62,"peinture à l'huile, toile",,,"paysage (Germigny-l'Evêque, ferme, arbre, chemin, oie)",,,propriété de la commune ; don ; Pont-Audemer ; musée Alfred Canel,1950,,,07070000033,Pont-Audemer;musée Alfred Canel,M0707,2016-12-27,,,France,,Pont-Audemer,"49.353932,0.513116"
2012.2.1,peinture,tableau,,Le Pont des Arts ; Pont des Arts (ancien cartel),BINET Victor Jean (peintre),"BINET : Rouen, 1849/03/17 ; Saint-Aubin-sur-Quillebeuf, 1924/01/15 ; nationalité : Française ; Victor Binet, frère d'Adolphe Binet est peintre de paysages. Sa biographie est lacunaire. Certaines sources mentionnent qu'il aurait été l'élève de Troyon ou encore inscrit à l'École des beaux-arts de Paris en 1868 ; d'autres qu'il était autodidacte. Il est tout d'abord peintre de décors pour Eiffel notamment. Son oeuvre se consacre largement aux paysages, dans lesquels il intègre parfois des éléments de modernité (trains, péniches, ponts métalliques etc.) et des personnages (du monde rural : paysans, pêcheurs etc.) bien que cela ne soit pas le sujet principal. Ses paysages de prédilection sont la campagne normande ceux autour de l'estuaire de la Seine, des bords de Seine à Paris, les environs de la Marne ou encore en région parisienne (Arcueil, Gentilly, Mantes-la-Jolie etc.). Il expose pour la première fois au Salon du 1878, se fait remarquer dès 1881 avec la mention honorable et obtient la médaille d'or à deux reprises aux expositions universelles de 1889 et 1900. Chevalier en 1894, il devient Officier de la légion d'honneur en 1900. Son nom apparaît pour la dernière fois au Salon de 1908. Nombreuses sont ses oeuvres qui se retrouvent dans les musées français (Amiens, Reims, Rouen, Bagnères-de-Luchon, Orsay, CNAP etc.) grâce aux achats de l'État lors des salons. Il peint pour l'Hôtel de Ville de Paris, une oeuvre destinée à orner les galeries longeant les grands escaliers des fêtes intitulée « Fontaine du Châtelet » suite à une commande de 1888. Sa technique tend à évoluer au cours de sa carrière. A ses débuts ses paysages sont de composition classique avec une atmosphère sereine et une touche lisse, puis progressivement il intègre les évolutions picturales de son époque. Sa palette s'éclaircit, sa touche s'épaissit et s'accélère, sans pour autant adhérer au mouvement impressionniste.",,4e quart 19e siècle,1890 ; 1891,,,,,,Largeur en cm 158 cm ; Hauteur en cm 137 cm,"peinture à l'huile, toile",,,"paysage (Paris, quai, Seine, architecture fluviale et maritime, péniche)",,,propriété de la commune ; don ; Pont-Audemer ; musée Alfred Canel,2012,,,07070001883,Pont-Audemer;musée Alfred Canel,M0707,2016-12-27,,,France,,Pont-Audemer,"49.353932,0.513116"
Inv 8539,peinture,tableau,,SAINT MICHEL,"anonyme ; LE GUIDE (d'après, dit), RENI Guido (d'après)",,,17e siècle(?),,17e siècle,,,,,"H. 80,l. 65","peinture à l'huile, toile",,,"figure biblique (saint Michel, en médaillon, en buste, de trois-quarts, armure)",,,propriété de l'Etat ; mode d'acquisition inconnu ; musée du Louvre département des Peintures,1824 inscrit sur l'inventaire,1872 déposé,,00000103023,Agen;musée des beaux-arts,M0087,1998-12-29,2007-02-02,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France ; Italie ; Bologne(d'après),dépôt ; Agen; musée municipal,Agen,"44.202482,0.618546"
INV 520,peinture,tableau,,SAMSON ET DALILA,"RENI Guido, LE GUIDE (dit)","Bologne,1575 ; Bologne,1642",,17e siècle,1686 avant,,,,,,"H. 227,l. 180","peinture à l'huile, toile",,Rome (lieu de provenance),"scène biblique (Samson, Dalila)",,,propriété de l'Etat ; musée du Louvre département des Peintures,1686 acquis ; 18e siècle fin entrée matérielle,,Muséum central des arts (fin 18e siècle),00000103047,Paris;musée du Louvre département des Peintures;oeuvre disparue;manquant,M5036,1998-12-29,2017-10-18,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Italie ; Bologne,,Paris,"48.8589,2.3469"
2014.8.1,ethnologie;commerce - économie - finances;estampe,affiche,,Goûtez-moi ça!,STARR,,,3e quart 20e siècle,1962,,,publicité,,,"H. 153 cm, l. 116 cm",papier (technique imprimerie),,France ; Haute-Normandie (lieu de découverte),,,,propriété de la collectivité locale ; achat ; parc naturel régional des Boucles de la Seine Normande ; écomusée de la Basse-Seine,2014 acquis,,,07230011926,Notre-Dame-de-Bliquetuit;écomusée de la Basse-Seine,M0723,2017-09-13,2018-06-14,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Notre-Dame-de-Bliquetuit,"49.494592,0.763069"
1993.1.10,peinture;artisanat - industrie;croyances - coutumes;vie domestique;vie sociale - culturelle,peinture sous verre,Hinterglasmalerei,LE PRINTEMPS. (titre inscrit),BAHI-LINGENHELD Marie José (peintre),,"France, Aquitaine, Lot-et-Garonne, La Sauvetat-de-Savères (lieu d'exécution) (lieu de création) ; France, Bas-Rhin (lieu d'utilisation)",4e quart 20e siècle,1980 vers,,,décor d'appartement ; décoration,4e quart 20e siècle,1984 vers,"avec support cadre : H. 41,3 cm ; l. 35,8 cm","verre (laminé, peint à la main, pigment, gouache, détrempe, application) bois (assemblé, peinture à l'huile)",,,"représentation humaine (femme, printemps, fleur)",,,propriété de la commune ; donation ; Pfaffenhoffen ; musée de l'Image populaire,07/05/1993,,,M0010015459,Pfaffenhoffen;musée de l'Image populaire,M0010,2016-09-02,,,,,Pfaffenhoffen,"48.3561,5.700461"
2003.1.13 ; G26,sculpture;vie domestique,bas-relief,,Badinage galant (titre factice),DE DIETRICH (fabricant),,"France, Bas-Rhin, Niederbronn-les-Bains (lieu d'exécution) (lieu de création) (lieu d'utilisation)",2e moitié 20e siècle;3e quart 20e siècle,1950 entre ; 1960 et,,,décoration,20e siècle,,"H. 21 cm, l. 20 cm, L. 0,5 cm",fonte,,"France ; Bas-Rhin (Niederbronn-les-Bains, lieu de collecte) ; (ROMBOURG Bernard, collecteur)","scène (effet de ligne, homme, femme, de face, en pied, assis, chasse, arme à feu, lévrier, extérieur, rose, désir, étreinte)",,,propriété de la commune ; achat avec participation du FRAM ; Reichshoffen ; musée Historique et Industriel - musée du fer,4 mars 2003,,,M0011000963,Reichshoffen;musée Historique et Industriel - musée du fer,M0011,2016-09-06,,,,,Reichshoffen,"48.93363,7.665223"
2003.1.36 ; G27,sculpture;vie domestique,bas-relief,,Gazelles (titre d'usage),DE DIETRICH (fabricant),,"France, Bas-Rhin, Niederbronn-les-Bains (lieu d'exécution) (lieu de création) (lieu d'utilisation)",2e moitié 20e siècle;3e quart 20e siècle,1950 entre ; 1960 et,,,décoration,20e siècle,,"H. 26 cm, l. 65 cm, L. 1,5 cm",fonte,,"France ; Bas-Rhin (Niederbronn-les-Bains, lieu de collecte) ; (ROMBOURG Bernard, collecteur)","représentation animalière (gazelle, de profil, gauche, extérieur, palmier, effet de mouvement)",,,propriété de la commune ; achat avec participation du FRAM ; Reichshoffen ; musée Historique et Industriel - musée du fer,4 mars 2003,,,M0011000975,Reichshoffen;musée Historique et Industriel - musée du fer,M0011,2016-09-06,,,,,Reichshoffen,"48.93363,7.665223"
2003.1.39 ; G48,sculpture;vie domestique,bas-relief,,Die Wasenburg im Mittelalter (titre inscrit),DE DIETRICH (fabricant),,"France, Bas-Rhin, Niederbronn-les-Bains (lieu d'exécution) (lieu de création) (lieu d'utilisation)",2e moitié 20e siècle;3e quart 20e siècle,1950 entre ; 1960 et,,,décoration,20e siècle,,"H. 23,5 cm, l. 22,5 cm, L. 1,5 cm (rectangulaire)",fonte (moulé),,"France ; Bas-Rhin (Niederbronn-les-Bains, lieu de collecte) ; (ROMBOURG Bernard, collecteur)","architecture (château, forêt)",,,propriété de la commune ; achat avec participation du FRAM ; Reichshoffen ; musée Historique et Industriel - musée du fer,4 mars 2003,,,M0011000976,Reichshoffen;musée Historique et Industriel - musée du fer,M0011,2016-09-06,,,,,Reichshoffen,"48.93363,7.665223"
2003.1.1 ; G59,sculpture;vie domestique,figurine,,Biche (titre d'usage),DE DIETRICH (fabricant) ; GROSS Joseph (mouleur),,"France, Bas-Rhin, Niederbronn-les-Bains (lieu d'exécution) (lieu de création) (lieu d'utilisation)",2e quart 20e siècle;1ère moitié 20e siècle,1949 entre ; 1950 et,,,décoration ; bibelot,20e siècle,,"H. 16,5 cm, l. 7 cm, L. 21 cm",fonte (moulé),,"France ; Bas-Rhin (Niederbronn-les-Bains, lieu de collecte) ; (ROMBOURG Bernard, collecteur)","représentation animalière (biche, extérieur, en appui, droit)",,,propriété de la commune ; achat avec participation du FRAM ; Reichshoffen ; musée Historique et Industriel - musée du fer,4 mars 2003,,,M0011009039,Reichshoffen;musée Historique et Industriel - musée du fer,M0011,2016-09-06,,,,,Reichshoffen,"48.93363,7.665223"
2005.004.0009,peinture,,,Lumière obscure,"HARALI David, MOHROR D L (dit)","Mohror est le pseudonyme choisi par l'un des grands photographes actuels, David Harali, spécialiste des portraits photographiques, mais aussi peintre. Il a photographié de grandes personnalités de notre société culturelle : philosophes, écrivains, artistes, musiciens, acteurs. Né en 1936, il vit et travaille à Paris et à Mexico. Ces peintures sous verre peuvent être considérées comme un prolongement de son oeuvre photographique. Les représentations oniriques, visages ou petits bonhommes, qu'il peint sur le verre des lunettes, sont une métaphore du regardant/regardé, ces lunettes montrant ce qu'elles cachent",Paris (lieu de création),4e quart 20e siècle;1er quart 21e siècle,1995 entre ; 2004 et,,,,,,"H. 6,5 ; l. 14,5 ; E. 3",monture de lunette;verre de lunette;peinture acrylique;peinture vinylique (fixé sous verre),,,figure (anthropomorphe),,,propriété de la commune ; mode d'acquisition inconnu ; Morez ; musée de la Lunette,2005,,,M0350002208,Morez;musée de la Lunette,M0349-50,2009-01-05,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Morez,"44.825928,0.034954"
MM. 40.47.7111,peinture,tableau,,"Jérôme Bonaparte, roi de Westphalie (1784 ; 1860)",GROS Antoine Jean baron (attribué),"Paris, 1771 ; Paris, 1835",,1er quart 19e siècle,1808 APRES,,,,,,H. 65 ; L. 54,peinture à l'huile;toile,,,"portrait (Bonaparte Jérôme, homme, en buste, de trois-quarts, col : dentelle, vêtement, chapeau, plume, Ordre de la Légion d'honneur, roi, Rhénanie-Westphalie)",,,propriété de l'Etat ; don ; musée national des châteaux de Malmaison et de Bois-Préau,1931 date d'acquisition,,,00000095089,Ajaccio;musée national de la maison Bonaparte,M5046,1993-10-05,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Ajaccio,"41.92499,8.735937"
FEC.205 ; 95 (liste provisoire peintures Terre-Neuvas),peinture;marine,tableau,,Voilier sur mer houleuse,"GRANDIN Eugène (dit), MARGUERITTE-GRANDIN Eugène","Caen, 1833 ; Le Havre, 1916",,4e quart 19e siècle,1887,,,,,,Hauteur en mm 112 ; Largeur en mm 186,peinture à l'huile;acajou,,,portrait (deux-mâts),,,propriété de la commune ; mode d'acquisition inconnu ; Fécamp ; Musée des Terre-Neuvas,,,,07160000338,Fécamp;musée des Terre-Neuvas,M0715,2003-02-11,2003-02-13,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Fécamp,"49.756614,0.378369"
ATP 53.45.31,sculpture;croyances - coutumes,santon (élément d'ensemble),,SAINT JOSEPH,anonyme,,,19e siècle,,,,,,,33 H,carton-pâte;polychromie,,,"figure biblique (saint Joseph, barbe, manteau, tunique)",,,propriété de l'Etat ; achat ; musée national des Arts et Traditions Populaires,1953,1953,,000SC005296,Besançon;musée Comtois,M0334,2003-07-30,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France ; Franche-Comté,dépôt ; Besançon ; musée Historique,Besançon,"47.242188,6.02007"
MP1990-41,peinture,tableau,,Couple,"PICASSO Pablo (dit), RUIZ-PICASSO Pablo","Malaga, 1881 ; Mougins, 1973",,3e quart 20e siècle,1970 entre ; 1971 et,,,,,,"H. 163.5, L. 131.5",,,,,,,propriété de l'Etat ; dation ; Paris ; musée national Picasso,1990,1990,,50430000395,Paris;musée national d'art moderne,M5050,2008-05-16,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Espagne,déposé ; Paris ; musée national d'art moderne,Paris,"48.8589,2.3469"
IS.96.35.2.1 à 14,Asie méridionale;jeux - sports - loisirs,jeu de cartes (en miniature;élément d'ensemble),enseignes animalières ; ganjifa moghol (8),CARTES D'UN GANJIFA MOGHOL ANIMALIER (titre d'usage),anonyme (cartier),,"Inde, Rajasthan (lieu de création) ; (lieu d'utilisation)",,,,,jeu,,,Dimensions en mm (carte à jouer) : 83 x 60,"carton, peint, vernis",,,"représentation animalière (mouflon, dromadaire, sanglier, tigre, éléphant, animal fabuleux, chien, zébu)",,,propriété de la commune ; achat avec participation ; Issy-les-Moulineaux ; musée français de la carte à jouer,1996,,,04110002272,Issy-les-Moulineaux;musée français de la carte à jouer,M0411,2017-11-28,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Issy-les-Moulineaux,"48.822524,2.268598"
1922.01.27.59 ; 22.01.85 (Ancien numéro),dessin,,,Jeune couple à la campagne (titre factice),FERRAND Adèle (dessinateur),"FERRAND : Nancy, 20 octobre 1817 ; Saint-Pierre (Réunion), 1 avril 1848 ; femme ; nationalité : Française",,2e quart 19e siècle,,,,,,,Hauteur en cm 9 ; Largeur en cm 8.6,"mine de plomb, papier",,,"scène (couple, assis, repos)",,,propriété du département ; don ; Conseil général de La Réunion ; musée Léon Dierx,1922,,,10690003201,Saint-Denis de La Réunion;musée Léon Dierx,M1069,2016-03-21,,,France,,Saint-Denis de La Réunion,"-20.894374,55.49122"
1922.01.27.60 ; 22.01.86 (Ancien numéro),dessin,,,Scènes familiales (titre factice) ; Ancien titre : Feuilles d'études,FERRAND Adèle (dessinateur),"FERRAND : Nancy, 20 octobre 1817 ; Saint-Pierre (Réunion), 1 avril 1848 ; femme ; nationalité : Française",,2e quart 19e siècle,,,,,,,Hauteur en cm 15.7 ; Largeur en cm 22.5,"mine de plomb, papier",,,"scène (famille, femme, enfant, chèvre, chien)",,,propriété du département ; don ; Conseil général de La Réunion ; musée Léon Dierx,1922,,,10690003202,Saint-Denis de La Réunion;musée Léon Dierx,M1069,2016-03-21,,,France,,Saint-Denis de La Réunion,"-20.894374,55.49122"
1922.01.27.58 ; 22.01.84 (Ancien numéro),dessin,,,Tête d'un mouton (titre factice) ; Ancien titre : Portrait d'un mouton,FERRAND Adèle (dessinateur),"FERRAND : Nancy, 20 octobre 1817 ; Saint-Pierre (Réunion), 1 avril 1848 ; femme ; nationalité : Française",,2e quart 19e siècle,,,,,,,Hauteur en cm 6.1 ; Largeur en cm 6.7,"mine de plomb, craie, papier",,,"représentation animalière (mouton, tête d'animal)",,,propriété du département ; don ; Conseil général de La Réunion ; musée Léon Dierx,1922,,,10690003200,Saint-Denis de La Réunion;musée Léon Dierx,M1069,2016-03-21,,,France,,Saint-Denis de La Réunion,"-20.894374,55.49122"
1951.3.4,spectacle - fête,marionnette à gaine,,Arlequin,anonyme,,Lorraine ; Meurthe-et-Moselle : Lunéville (environs de),1er quart 20e siècle;2e quart 20e siècle,1920 entre ; 1950 et,,,spectacle,,,"l. 29 cm, L. 54 cm, E. 11 cm",,,,,,,propriété du département ; Haute-Saône ; don ; musée départemental Albert Demard,1971/11/23,,,M0354000008,Champlitte;musée départemental Albert Demard,M0354,2006-06-01,2006-06-13,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Champlitte,"47.615433,5.513712"
2493.1,numismatique;commerce - économie - finances,jeton (octogonal),,Jeton de la Caisse d'Epargne et de Prévoyance de Lyon,BARRE Albert Désiré (auteur du modèle),"BARRE : ?, 1818 ; ?, 1878","France, Rhône-Alpes, Rhône, Lyon (lieu de création)",19e siècle,,,,commerce ; échange,,,H. en cm 3.3,bronze,,,représentation animalière (fourmi),,,propriété de la commune (?) ; mode d'acquisition inconnu ; Lyon ; musée Gadagne,,,,10320072040,Lyon;musée Gadagne,M1032,2006-12-12,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Lyon,"45.7579,4.8353"
CHIEVRES 2554,sculpture,maquette de sculpture;statue;élément d'ensemble,,"L'INDUSTRIE, MODELE POUR LA FACADE DU CERCLE INDUSTRIEL",BROUILLET Pierre Amédée,"Chatain, 1826 ; Rochecorbon, 1901",,4e quart 19e siècle,1875 vers,,,,,,97.5 H ; 36 L ; 33 P,plâtre,,,"figure (allégorie : industrie, femme, en pied, à l'antique, accoudé, vase, marteau, outil : forgeage)",,,propriété de la commune ; Propriété privée personne morale ; Poitiers ; musées de la ville et de la société des antiquaires de l'Ouest ; don ; société des antiquaires de l'Ouest,1894,,,000SC023211,Poitiers;musée Rupert de Chièvres,M0854,,1995-09-14,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Poitiers,"46.579729,0.334224"
CHIEVRES 2550,sculpture,médaillon;relief,,MEDAILLON DE MELLE DELEVAULT,BROUILLET Pierre Amédée,"Chatain, 1826 ; Rochecorbon, 1901",,4e quart 19e siècle,1894 avant,,,,,,40 H ; 34 L ; 6 P,Bas-relief;plâtre,,,"portrait (Delevault Mlle, jeune fille, tête, de profil : droit, coiffure)",,,propriété de la commune ; Propriété privée personne morale ; Poitiers ; musées de la ville et de la société des antiquaires de l'Ouest ; don ; société des antiquaires de l'Ouest,1894,,,000SC023333,Poitiers;musée Rupert de Chièvres,M0854,,1995-09-14,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Poitiers,"46.579729,0.334224"
96.15.1,arts décoratifs;orfèvrerie,cuiller,,Cuiller à olives,HANAPPIER Jacques VIII,"HANAPPIER Jacques VIII : Orléans, 1704 ; Orléans, 1768",,18e siècle,1748 entre ; 1750 et,,,,,,"Longueur x Largeur : 58 x 3,1 cm ; Poids : 96 g",argent;repoussé;gravure;ciselure,,,,,,propriété de la commune ; don ; Orléans ; musée historique et archéologique de l'Orléanais,date d'acquisition inconnue,,,02870001028,Orléans;musée historique et archéologique de l'Orléanais,M0287,2016-04-07,,,,,Orléans,"47.901977,1.903836"
RA 929,sculpture,stèle;relief,,TOMBE TURQUE,anonyme,,,,,,,,,,172 H,Bas-relief;taille;marbre,,Patras (lieu de provenance),,,,propriété de la commune ; don ; Toulouse ; musée des Augustins,1836,,,000SC016709,Toulouse;musée Georges Labit,M0564,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,en dépôt ; Toulouse ; Musée Georges Labit,Toulouse,"43.604268,1.441019"
2008.0.16,artisanat - industrie;marine,maquette de bateau;coque,,"Nouvelle-Normandie, paquebot, 1847",CHANTIERS AUGUSTIN NORMAND (concepteur) ; anonyme (modeleur),,"France, Haute-Normandie, Seine-Maritime, Le Havre (lieu de création, lieu d'utilisation)",2e quart 19e siècle,1847 vers,,,maquette de chantier ; construction navale,2e quart 19e siècle,1847 vers,L. en cm 121 ; l. en cm 13.3 ; H. en cm à la proue 9.2 ; Hauteur à la poupe 8.3 ; Echelle 1/48,bois (vernis),,,,,,propriété de la commune ; don ; Le Havre ; musée de l'Ancien Havre,1966 entrée matérielle,,,07180001305,Le Havre;musée de l'Ancien Havre,M0718,2009-01-07,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Le Havre,"49.493304,0.107396"
2008.0.27,artisanat - industrie;marine,maquette de bateau;coque,,"Ville de Paris, paquebot, 1838",CHANTIERS AUGUSTIN NORMAND (concepteur) ; anonyme (modeleur),,"France, Haute-Normandie, Seine-Maritime, Le Havre (lieu de création, lieu d'utilisation)",2e quart 19e siècle,1838 vers,,,maquette de chantier ; construction navale,2e quart 19e siècle,1838 vers,L. en cm 177.9 ; l. en cm 15.7 ; H. en cm à la proue 10.1 ; Hauteur à la poupe 10.1 ; Echelle 1/23,bois (vernis),,,,,,propriété de la commune ; don ; Le Havre ; musée de l'Ancien Havre,1966 entrée matérielle,,,07180001314,Le Havre;musée de l'Ancien Havre,M0718,2009-01-07,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Le Havre,"49.493304,0.107396"
